index,count
23,292752.0
30,154448.0
33,103284.0
47,423795.0
56,169719.0
61,154569.0
72,163621.0
105,249169.0
118,326777.0
163,365553.0
182,236439.0
185,262423.0
200,506795.0
221,293010.0
246,225699.0
300,293275.0
305,376899.0
313,187005.0
319,106086.0
338,97680.0
394,250718.0
407,427583.0
434,358968.0
440,724213.0
450,168479.0
457,621524.0
504,385103.0
517,137312.0
518,310599.0
538,306347.0
560,298270.0
564,251158.0
573,296455.0
576,263406.0
578,190861.0
581,400667.0
597,224275.0
602,136487.0
608,399400.0
617,132219.0
618,327990.0
621,183603.0
630,305114.0
633,328575.0
658,139486.0
678,204709.0
734,215170.0
741,155448.0
754,119847.0
766,252197.0
779,270081.0
792,229616.0
844,341046.0
845,235569.0
851,342347.0
854,111654.0
866,343336.0
882,178829.0
947,352496.0
953,236483.0
967,270999.0
989,269370.0
1012,269817.0
1018,335451.0
1029,234789.0
1068,217225.0
1075,289014.0
1079,446026.0
1105,235264.0
1114,321545.0
1122,432567.0
1130,307171.0
1134,287430.0
1168,237625.0
1196,51239.0
1197,298045.0
1198,222619.0
1200,323192.0
1219,288458.0
1267,352362.0
1276,202048.0
1282,222582.0
1317,326339.0
1376,296667.0
1394,155233.0
1403,168877.0
1407,285762.0
1440,269258.0
1469,236250.0
1481,405735.0
1492,359990.0
1507,312378.0
1510,446473.0
1556,197758.0
1560,253148.0
1595,374133.0
1606,362080.0
1607,220274.0
1613,322784.0
1630,286019.0
1631,359158.0
1634,316634.0
1637,225471.0
1642,199771.0
1663,355057.0
1665,250775.0
1668,331071.0
1673,322705.0
1715,209162.0
1751,215015.0
1769,213699.0
1773,376209.0
1796,307633.0
1840,362832.0
1897,417496.0
1934,177784.0
1936,316340.0
1949,305297.0
1974,217791.0
1977,345874.0
1981,171003.0
1991,296249.0
1994,358530.0
1996,345147.0
2010,295639.0
